name,raw_review,date
Helio Rodrigues,"Boa tarde Não estou conseguindo visualizar os valores da fatura para efetuar o pagamento do mesmo sendo ele quer ainda vai vencer dia 10.02.2020 Qual o procedimento a devo adotar para obter a fatura e fazer o pagamento, pq n consigo visualizar no App do Banco do Brasil Fiz uma compra hoje dia 24.01.2020 gostaria de pagar o valor da fatura Desde já no aguardo. Att Hélio Rodrigues Correia",24 de janeiro de 2020
Maicon Ferreira,CARTÃO DE CRÉDITO • Solicitar um cartão de crédito mesmo sem ter conta corrente • Acessar as principais funções do seu cartão de crédito Ourocard • Acompanhar limites de crédito e pagar a fatura do seu cartão • Criar seu cartão virtual para compras na internet ACOMPANHE SEUS GASTOS • Gerenciar todas as suas finanças e gastos mensais • Criar orçamentos e metas financeiras EMPRÉSTIMOS E INVESTIMENTOS • Contratar empréstimos e financiamentos direto pelo app • Renegociar dívidas e acordos...,25 de janeiro de 2020
Matheus Freitas,"É um dos melhores apps de bancos brasileiros que existe. Dou três estrelas apenas pelo fato de ainda não terem lançado uma conta digital gratuita, pois não gosto de pagar a taxa que pago sendo que não uso praticamente nenhum serviço de vocês.",12 de janeiro de 2020
Roseli Novais,Particularmente ajuda a não ficar em fila . E é prático acessível a qualquer momento! A única inconveniência são as mensagens que recebermos que deixa em dúvida se é do BB. Porque usam o número do telefone do BB.,20 de janeiro de 2020
Isabella Borges,"Muito ótimo, melhor banco, super recomendo!!! Esse aplicativo é muito prático! Da para fazer praticamente tudo sem sair de casa, e o melhor é que tudo é muito simples, rápido e fácil!",10 de janeiro de 2020
ANTONIA RITA,"As opções de pagamentos e transferências por meio deste App, facilita bastante a minha vida financeira, uma vez que não preciso sair de casa. Gradativamente estou aprendendo a utilizar outras opções de serviços.",10 de janeiro de 2020
virginia guilherme,Acabei de instalar em um novo celular e não consigo acessar as configurações. A tela fica carregando o tempo todo e não permite acessar nada. No celular antigo funcionava perfeitamente.,12 de janeiro de 2020
Marcelo Pichineli,"Estou com problemas no aplicativo, não consigo mais ver meu saldo, na configuração geral tem endereço que desconheço não é meu, estava perfeito mais só dá erro agora.",19 de janeiro de 2020
Jhony Santos,Não é bom pq pedi 2 cartões pelo ap vieram tudo certinho mas no ap ñ aparece informações sobre limite ou fatura dos mesmo até agora não sei o limite deles! Baixei aquele outro do ourocard digitei o número dos cartões e a senha aparece um aviso que o plástico é inválido,22 de janeiro de 2020
Rodrigo Vieira - RastrePower,"Não sou correntista mas tenho cartão de credito Saraiva. Depois da atualização não consigo mais ter acesso às faturas, limite do cartão de crédito e não consigo acompanhar minhas compras.",22 de janeiro de 2020
Aluane de Sá,"Estava ok, passei um tempo sem usar e agora a msn é que, meu aparelho não está habilitado, dá senha inválida, mesmo atualizando o aplicativo. Muito ruim, sem opção para perguntas/respostas frequentes....",19 de janeiro de 2020
Genivaldo Monteiro,"O aplicativo é ótimo, pra tudo referente ao cartão e faturas , porém eu também tenho o cartão saraiva e ja fazem uns 6 dias que tiraram ele do aplicativo, ele não aparece mais pra gente fazer o acompanhamento, ele não vai continuar pelo bb?",22 de janeiro de 2020
Luzia Lima,"App está horrível ,meu cartão não estão bloqueado mais quando entro no app esta aparecendo não há cartões para este cliente, isso ja ta ficando chato.estou muito insatisfeita com esse aplicativo porque não da pra ver limite, nem a fatura nem nada...",19 de janeiro de 2020
Tiela Dias,"É um bom app mas o motivo de ser apenas quatro estrelas, é para que os fabricantes nos ofereça opções melhor ainda, aliás acho que todos os bancos brasileiros poderiam se inspirar no Nubank como exemplo de app e atendimento ao cliente.",23 de janeiro de 2020
